43.2487382,-8.589744999999999    1ª travesia eusebio bertoa s/n, 15145, a coruna, galicia, españa
42.431318,1.4670126    aduana de la farga de moles s/n, 25799, lleida, cataluna, españa
40.4521586,-3.562635    aeropuerto de barajas s/n, 28042, madrid, comunidad madrid, españa
38.8940384,1.4106189    aeropuerto ibiza s/n, 07800, illes balears, illes balears, españa
28.0481857,-16.5766845    aeropuerto tenerife sur s/n, 38611, santa cruz tenerife, canarias, españa
41.6931794,0.1779173    afueras s/n, 22533, huesca, aragon, españa
28.14093,-15.6356447    alcalde oscar bautista afonso s/n, 35450, las palmas, canarias, españa
38.2757499,-3.6098782    alfonso viii s/n, 23200, jaen, andalucia, españa
42.2726198,-1.7246856    alto del palomar 6, 31330, navarra, comunidad foral navarra, españa
37.1597924,-4.1718542    andalucia s/n, 18300, granada, andalucia, españa
27.9431677,-15.3888634    antigua carretera aeropuerto gran canarias s/n, 35230, las palmas, canarias, españa
36.994687,-6.5303102    apartado de correos 31, 21760, huelva, andalucia, españa
28.0467575,-16.5725303    area comercial zona de salida aeropuerto r. sofia s/n, 38610, santa cruz tenerife, canarias, españa
38.0934685,-0.9539189    atanagildo 7, 03300, alicante, comunitat valenciana, españa
36.1328166,-5.8396811    atarjea s/n, 11393, cadiz, andalucia, españa
39.325664,-5.918647099999999    avenida 18 de julio 15, 10280, caceres, extremadura, españa
28.1033292,-15.4181644    avenida 1º de mayo 12 1º izd, 35002, las palmas, canarias, españa
28.1043684,-15.4191231    avenida 1º de mayo 19, 35002, las palmas, canarias, españa
37.76449,-3.07733    avenida 1º de mayo 4, 23487, jaen, andalucia, españa
41.9839131,2.819503    avenida 20 de junio 2, 17001, girona, cataluna, españa
28.4724262,-16.255525    avenida 25 de julio 2, 38004, santa cruz tenerife, canarias, españa
28.4695963,-16.2560075    avenida 25 de julio 9, 38004, santa cruz tenerife, canarias, españa
39.4716572,-6.3778213    avenida a. españa 4, 10001, caceres, extremadura, españa
37.617113,-0.9558669999999999    avenida a.luxemburgo s/n centro empresarial cartagena plaza s/n, 30353, murcia, region murcia, españa
28.084473,-16.561155    avenida abona 9, 38611, santa cruz tenerife, canarias, españa
42.116751,-8.183029099999999    avenida adriano marques de magal s/n, 32229, ourense, galicia, españa
37.59286,-5.87925    avenida aguas santas 99, 41318, sevilla, andalucia, españa
39.424049,-0.4851381    avenida al vedat 60, 46900, valencia, comunitat valenciana, españa
42.0302962,-4.3221531    avenida alberto acitores 78, 34230, palencia, castilla leon, españa
40.8955008,0.7722973999999999    avenida alcalde josep pijoan 28, 43860, tarragona, cataluna, españa
38.9231511,-3.1980527    avenida alcalde lopez posadas 24, 13240, ciudad real, castilla la mancha, españa
39.986258,-0.0551554    avenida alcora 127, 12006, castellon, comunitat valenciana, españa
39.5735245,2.6566566    avenida alejandro rossello 12, 07002, illes balears, illes balears, españa
37.2382361,-3.5662423    avenida alfaguara 9, 18170, granada, andalucia, españa
43.2797142,-8.2122029    avenida alfonso ix s/n, 15300, a coruna, galicia, españa
42.3336359,-8.5666077    avenida alfonso rodriguez castelao s/n, 36691, pontevedra, galicia, españa
39.990608,-6.5384057    avenida alfonso vii 62, 10800, caceres, extremadura, españa
40.029256,-6.0876402    avenida alfonso viii 27, 10600, caceres, extremadura, españa
37.9882606,-1.5038533    avenida alhama 32, 30176, murcia, region murcia, españa
38.5668596,-0.6299192    avenida alicante 1, 03420, alicante, comunitat valenciana, españa
36.9991482,-1.8927725    avenida almeria 2, 04140, almeria, andalucia, españa
39.2806045,-0.3848574    avenida almussafes 17, 46430, valencia, comunitat valenciana, españa
38.9628668,-5.8699966    avenida alonso martin 14, 06400, badajoz, extremadura, españa
39.3949199,-3.2060205    avenida alvarez guerra 10, 13600, ciudad real, castilla la mancha, españa
40.4380189,-3.677253099999999    avenida america 3, 28002, madrid, comunidad madrid, españa
43.2729966,-6.6059756    avenida america 45, 33880, asturias, principado asturias, españa
42.6886901,-8.4949262    avenida america 8, 36680, pontevedra, galicia, españa
38.534194,-0.8185386    avenida americas 1, 03630, alicante, comunitat valenciana, españa
37.4042746,-6.0084234    avenida americo vespucio, s/n. isla de la cartuja 41092 sevilla (sevilla)
28.4817711,-16.2404796    avenida anaga s/n, 38001, santa cruz tenerife, canarias, españa
42.6032067,0.522008    avenida ancilles s/n, 22440, huesca, aragon, españa
37.5811088,-4.6465314    avenida andalucia (edificio las palmeras) 23 a, 14550, cordoba, andalucia, españa
37.474781,-4.440177100000001    avenida andalucia 1, 14940, cordoba, andalucia, españa
38.18454,-3.684899999999999    avenida andalucia 105, 23210, jaen, andalucia, españa
37.32606,-3.595299999999999    avenida andalucia 11, 18570, granada, andalucia, españa
36.8397999,-5.39274    avenida andalucia 12, 11688, cadiz, andalucia, españa
37.5927099,-3.81731    avenida andalucia 14, 23150, jaen, andalucia, españa
38.1113359,-2.5520268    avenida andalucia 2, 23290, jaen, andalucia, españa
36.7174694,-4.4266494    avenida andalucia 2, 29007, malaga, andalucia, españa
37.1795499,-6.9676894    avenida andalucia 24, 21100, huelva, andalucia, españa
38.4142214,-2.6748026    avenida andalucia 24, 23391, jaen, andalucia, españa
37.5268005,-5.2464265    avenida andalucia 26, 41430, sevilla, andalucia, españa
37.1342546,-4.7308066    avenida andalucia 27, 29520, malaga, andalucia, españa
37.48216010000001,-3.6196827    avenida andalucia 28, 18565, granada, andalucia, españa
37.3870224,-2.1461076    avenida andalucia 32, 04800, almeria, andalucia, españa
37.15156,-4.067299999999999    avenida andalucia 41, 18310, granada, andalucia, españa
36.1925583,-5.9247196    avenida andalucia 53, 11160, cadiz, andalucia, españa
37.51575,-6.26684    avenida andalucia 54, 41870, sevilla, andalucia, españa
36.73647,-5.249969999999999    avenida andalucia 71, 29360, malaga, andalucia, españa
36.9781156,-4.148669    avenida andalucia s/n, 18128, granada, andalucia, españa
